Calificaci—n,"Categoria Real (1=Fraude, 0=NoFraude)",fp,tp,fpr,tpr,a
0.232206847,0,44,14,0.004387714,0.159090909,0.005733491
0.232206847,0,45,14,0.004487435,0.159090909,0.005832345
0.232206847,1,45,15,0.004487435,0.170454545,0.005931198
0.232206847,0,46,15,0.004587156,0.170454545,0.006030051
0.232206847,0,47,15,0.004686877,0.170454545,0.006128905
0.232206847,0,48,15,0.004786598,0.170454545,0.006227758
0.232206847,0,49,15,0.004886318,0.170454545,0.006326611
0.232206847,0,50,15,0.004986039,0.170454545,0.006425465
0.232206847,0,51,15,0.00508576,0.170454545,0.006524318
0.232206847,0,52,15,0.005185481,0.170454545,0.006623171
0.232206847,0,53,15,0.005285201,0.170454545,0.006722025
0.232206847,0,54,15,0.005384922,0.170454545,0.006820878
0.232206847,1,54,16,0.005384922,0.181818182,0.006919731
0.232206847,1,54,17,0.005384922,0.193181818,0.007018584
0.232206847,0,55,17,0.005484643,0.193181818,0.007117438
0.232206847,1,55,18,0.005484643,0.204545455,0.007216291
0.232206847,0,56,18,0.005584364,0.204545455,0.007315144
0.232206847,1,56,19,0.005584364,0.215909091,0.007413998
0.232206847,0,57,19,0.005684085,0.215909091,0.007512851
0.232206847,0,58,19,0.005783805,0.215909091,0.007611704
0.232206847,1,58,20,0.005783805,0.227272727,0.007710558
0.232206847,1,58,21,0.005783805,0.238636364,0.007809411
0.232206847,1,58,22,0.005783805,0.25,0.007908264
0.232206847,1,58,23,0.005783805,0.261363636,0.008007117
0.232206847,0,59,23,0.005883526,0.261363636,0.008105971
0.232206847,0,60,23,0.005983247,0.261363636,0.008204824
0.232206847,0,61,23,0.006082968,0.261363636,0.008303677
0.232206847,0,62,23,0.006182688,0.261363636,0.008402531
0.232206847,0,63,23,0.006282409,0.261363636,0.008501384
0.232206847,0,64,23,0.00638213,0.261363636,0.008600237
0.232206847,0,65,23,0.006481851,0.261363636,0.008699091
0.232206847,0,66,23,0.006581572,0.261363636,0.008797944
0.232206847,1,66,24,0.006581572,0.272727273,0.008896797
0.232206847,0,67,24,0.006681292,0.272727273,0.00899565
0.232206847,1,67,25,0.006681292,0.284090909,0.009094504
0.232206847,1,67,26,0.006681292,0.295454545,0.009193357
0.232206847,1,67,27,0.006681292,0.306818182,0.00929221
0.232206847,0,68,27,0.006781013,0.306818182,0.009391064
0.232206847,0,69,27,0.006880734,0.306818182,0.009489917
0.232206847,0,70,27,0.006980455,0.306818182,0.00958877
0.232206847,0,71,27,0.007080176,0.306818182,0.009687624
0.232206847,0,72,27,0.007179896,0.306818182,0.009786477
0.232206847,0,73,27,0.007279617,0.306818182,0.00988533
0.232206847,1,73,28,0.007279617,0.318181818,0.009984183
0.232206847,0,74,28,0.007379338,0.318181818,0.010083037
0.232206847,0,75,28,0.007479059,0.318181818,0.01018189
0.232206847,0,76,28,0.007578779,0.318181818,0.010280743
0.232206847,1,76,29,0.007578779,0.329545455,0.010379597
0.232206847,0,77,29,0.0076785,0.329545455,0.01047845
0.232206847,1,77,30,0.0076785,0.340909091,0.010577303
0.232206847,1,77,31,0.0076785,0.352272727,0.010676157
0.232206847,0,78,31,0.007778221,0.352272727,0.01077501
0.232206847,0,79,31,0.007877942,0.352272727,0.010873863
0.232206847,0,80,31,0.007977663,0.352272727,0.010972716
0.232206847,0,81,31,0.008077383,0.352272727,0.01107157
0.232206847,0,82,31,0.008177104,0.352272727,0.011170423
0.200371,0,83,31,0.008276825,0.352272727,0.011269276
0.200371,0,84,31,0.008376546,0.352272727,0.01136813
0.200371,1,84,32,0.008376546,0.363636364,0.011466983
0.18055343,0,85,32,0.008476266,0.363636364,0.011565836
0.18055343,0,86,32,0.008575987,0.363636364,0.01166469
0.157676198,0,87,32,0.008675708,0.363636364,0.011763543
0.157676198,0,88,32,0.008775429,0.363636364,0.011862396
0.157676198,0,89,32,0.00887515,0.363636364,0.01196125
0.157676198,0,90,32,0.00897487,0.363636364,0.012060103
0.157676198,0,91,32,0.009074591,0.363636364,0.012158956
0.157676198,0,92,32,0.009174312,0.363636364,0.012257809
0.157676198,0,93,32,0.009274033,0.363636364,0.012356663
0.157676198,0,94,32,0.009373753,0.363636364,0.012455516
0.157676198,0,95,32,0.009473474,0.363636364,0.012554369
0.157676198,0,96,32,0.009573195,0.363636364,0.012653223
0.157676198,0,97,32,0.009672916,0.363636364,0.012752076
0.157676198,0,98,32,0.009772637,0.363636364,0.012850929
0.157676198,0,99,32,0.009872357,0.363636364,0.012949783
0.157676198,0,100,32,0.009972078,0.363636364,0.013048636
0.157676198,1,100,33,0.009972078,0.375,0.013147489
0.157676198,0,101,33,0.010071799,0.375,0.013246342
0.157676198,0,102,33,0.01017152,0.375,0.013345196
0.157676198,0,103,33,0.010271241,0.375,0.013444049
0.157676198,0,104,33,0.010370961,0.375,0.013542902
0.157676198,1,104,34,0.010370961,0.386363636,0.013641756
0.157676198,0,105,34,0.010470682,0.386363636,0.013740609
0.157676198,0,106,34,0.010570403,0.386363636,0.013839462
0.157676198,0,107,34,0.010670124,0.386363636,0.013938316
0.157676198,0,108,34,0.010769844,0.386363636,0.014037169
0.157676198,0,109,34,0.010869565,0.386363636,0.014136022
0.157676198,0,110,34,0.010969286,0.386363636,0.014234875
0.157676198,0,111,34,0.011069007,0.386363636,0.014333729
0.157676198,1,111,35,0.011069007,0.397727273,0.014432582
0.157676198,0,112,35,0.011168728,0.397727273,0.014531435
0.157676198,0,113,35,0.011268448,0.397727273,0.014630289
0.157676198,0,114,35,0.011368169,0.397727273,0.014729142
0.157676198,0,115,35,0.01146789,0.397727273,0.014827995
0.157676198,0,116,35,0.011567611,0.397727273,0.014926849
0.157676198,0,117,35,0.011667331,0.397727273,0.015025702
0.157676198,1,117,36,0.011667331,0.409090909,0.015124555
0.157676198,0,118,36,0.011767052,0.409090909,0.015223408
0.157676198,1,118,37,0.011767052,0.420454545,0.015322262
0.157676198,0,119,37,0.011866773,0.420454545,0.015421115
0.157676198,0,120,37,0.011966494,0.420454545,0.015519968
0.157676198,1,120,38,0.011966494,0.431818182,0.015618822
0.157676198,0,121,38,0.012066215,0.431818182,0.015717675
0.157676198,1,121,39,0.012066215,0.443181818,0.015816528
0.157676198,0,122,39,0.012165935,0.443181818,0.015915382
0.157676198,0,123,39,0.012265656,0.443181818,0.016014235
0.157676198,0,124,39,0.012365377,0.443181818,0.016113088
0.157676198,1,124,40,0.012365377,0.454545455,0.016211941
0.157676198,0,125,40,0.012465098,0.454545455,0.016310795
0.157676198,0,126,40,0.012564819,0.454545455,0.016409648
0.157676198,0,127,40,0.012664539,0.454545455,0.016508501
0.157676198,0,128,40,0.01276426,0.454545455,0.016607355
0.157676198,0,129,40,0.012863981,0.454545455,0.016706208
0.157676198,0,130,40,0.012963702,0.454545455,0.016805061
0.157676198,0,131,40,0.013063422,0.454545455,0.016903915
0.157676198,0,132,40,0.013163143,0.454545455,0.017002768
0.157676198,0,133,40,0.013262864,0.454545455,0.017101621
0.157676198,0,134,40,0.013362585,0.454545455,0.017200474
0.157676198,0,135,40,0.013462306,0.454545455,0.017299328
0.157676198,0,136,40,0.013562026,0.454545455,0.017398181
0.148569163,0,137,40,0.013661747,0.454545455,0.017497034
0.141090865,1,137,41,0.013661747,0.465909091,0.017595888
0.140844773,0,138,41,0.013761468,0.465909091,0.017694741
0.140844773,0,139,41,0.013861189,0.465909091,0.017793594
0.114371361,0,140,41,0.013960909,0.465909091,0.017892448
0.114371361,0,141,41,0.01406063,0.465909091,0.017991301
0.114371361,1,141,42,0.01406063,0.477272727,0.018090154
0.114371361,0,142,42,0.014160351,0.477272727,0.018189008
0.114371361,0,143,42,0.014260072,0.477272727,0.018287861
0.114371361,1,143,43,0.014260072,0.488636364,0.018386714
0.114371361,0,144,43,0.014359793,0.488636364,0.018485567
0.114371361,0,145,43,0.014459513,0.488636364,0.018584421
0.114371361,0,146,43,0.014559234,0.488636364,0.018683274
0.111272361,0,147,43,0.014658955,0.488636364,0.018782127
0.111272361,1,147,44,0.014658955,0.5,0.018880981
0.111272361,0,148,44,0.014758676,0.5,0.018979834
0.111272361,0,149,44,0.014858396,0.5,0.019078687
0.111272361,0,150,44,0.014958117,0.5,0.019177541
0.111272361,1,150,45,0.014958117,0.511363636,0.019276394
0.110452889,0,151,45,0.015057838,0.511363636,0.019375247
0.105967291,1,151,46,0.015057838,0.522727273,0.0194741
0.105967291,0,152,46,0.015157559,0.522727273,0.019572954
0.105967291,0,153,46,0.01525728,0.522727273,0.019671807
0.105967291,1,153,47,0.01525728,0.534090909,0.01977066
0.105967291,0,154,47,0.015357,0.534090909,0.019869514
0.105967291,1,154,48,0.015357,0.545454545,0.019968367
0.099795292,0,155,48,0.015456721,0.545454545,0.02006722
0.099795292,0,156,48,0.015556442,0.545454545,0.020166074
0.099795292,0,157,48,0.015656163,0.545454545,0.020264927
0.097175956,0,158,48,0.015755884,0.545454545,0.02036378
0.097175956,0,159,48,0.015855604,0.545454545,0.020462633
0.095558425,0,160,48,0.015955325,0.545454545,0.020561487
0.095558425,0,161,48,0.016055046,0.545454545,0.02066034
0.095558425,0,162,48,0.016154767,0.545454545,0.020759193
0.095558425,0,163,48,0.016254487,0.545454545,0.020858047
0.095558425,0,164,48,0.016354208,0.545454545,0.0209569
0.095558425,0,165,48,0.016453929,0.545454545,0.021055753
0.094998526,0,166,48,0.01655365,0.545454545,0.021154607
0.094998526,0,167,48,0.016653371,0.545454545,0.02125346
0.094998526,0,168,48,0.016753091,0.545454545,0.021352313
0.094998526,0,169,48,0.016852812,0.545454545,0.021451166
0.094775944,0,170,48,0.016952533,0.545454545,0.02155002
0.094775944,0,171,48,0.017052254,0.545454545,0.021648873
0.094775944,0,172,48,0.017151974,0.545454545,0.021747726
0.094775944,0,173,48,0.017251695,0.545454545,0.02184658
0.094775944,0,174,48,0.017351416,0.545454545,0.021945433
0.094775944,0,175,48,0.017451137,0.545454545,0.022044286
0.094775944,0,176,48,0.017550858,0.545454545,0.02214314
0.094775944,0,177,48,0.017650578,0.545454545,0.022241993
0.094775944,0,178,48,0.017750299,0.545454545,0.022340846
0.094775944,0,179,48,0.01785002,0.545454545,0.022439699
0.094775944,0,180,48,0.017949741,0.545454545,0.022538553
0.094775944,0,181,48,0.018049462,0.545454545,0.022637406
0.094775944,0,182,48,0.018149182,0.545454545,0.022736259
0.094775944,0,183,48,0.018248903,0.545454545,0.022835113
0.094775944,0,184,48,0.018348624,0.545454545,0.022933966
0.094775944,0,185,48,0.018448345,0.545454545,0.023032819
0.094775944,0,186,48,0.018548065,0.545454545,0.023131673
0.094429568,0,187,48,0.018647786,0.545454545,0.023230526
0.094429568,0,188,48,0.018747507,0.545454545,0.023329379
0.094429568,0,189,48,0.018847228,0.545454545,0.023428233
0.094429568,0,190,48,0.018946949,0.545454545,0.023527086
0.094429568,0,191,48,0.019046669,0.545454545,0.023625939
0.094429568,1,191,49,0.019046669,0.556818182,0.023724792
0.094429568,0,192,49,0.01914639,0.556818182,0.023823646
0.094429568,0,193,49,0.019246111,0.556818182,0.023922499
0.094429568,0,194,49,0.019345832,0.556818182,0.024021352
0.094429568,0,195,49,0.019445552,0.556818182,0.024120206
0.094429568,0,196,49,0.019545273,0.556818182,0.024219059
0.094429568,0,197,49,0.019644994,0.556818182,0.024317912
0.094429568,0,198,49,0.019744715,0.556818182,0.024416766
0.094429568,0,199,49,0.019844436,0.556818182,0.024515619
0.094429568,0,200,49,0.019944156,0.556818182,0.024614472
0.094429568,0,201,49,0.020043877,0.556818182,0.024713325
0.094429568,0,202,49,0.020143598,0.556818182,0.024812179
0.094429568,1,202,50,0.020143598,0.568181818,0.024911032
0.094376664,0,203,50,0.020243319,0.568181818,0.025009885
0.090408035,0,204,50,0.020343039,0.568181818,0.025108739
0.090408035,1,204,51,0.020343039,0.579545455,0.025207592
0.090408035,1,204,52,0.020343039,0.590909091,0.025306445
0.090408035,0,205,52,0.02044276,0.590909091,0.025405299
0.090408035,0,206,52,0.020542481,0.590909091,0.025504152
0.090408035,0,207,52,0.020642202,0.590909091,0.025603005
0.090408035,0,208,52,0.020741923,0.590909091,0.025701858
0.090408035,0,209,52,0.020841643,0.590909091,0.025800712
0.090408035,0,210,52,0.020941364,0.590909091,0.025899565
0.090408035,0,211,52,0.021041085,0.590909091,0.025998418
0.090408035,1,211,53,0.021041085,0.602272727,0.026097272
0.090408035,1,211,54,0.021041085,0.613636364,0.026196125
0.090408035,0,212,54,0.021140806,0.613636364,0.026294978
0.090408035,1,212,55,0.021140806,0.625,0.026393832
0.090408035,0,213,55,0.021240527,0.625,0.026492685
0.090408035,0,214,55,0.021340247,0.625,0.026591538
0.090408035,1,214,56,0.021340247,0.636363636,0.026690391
0.090408035,1,214,57,0.021340247,0.647727273,0.026789245
0.090408035,0,215,57,0.021439968,0.647727273,0.026888098
0.090408035,1,215,58,0.021439968,0.659090909,0.026986951
0.090408035,1,215,59,0.021439968,0.670454545,0.027085805
0.090408035,0,216,59,0.021539689,0.670454545,0.027184658
0.090408035,0,217,59,0.02163941,0.670454545,0.027283511
0.090408035,1,217,60,0.02163941,0.681818182,0.027382365
0.090408035,0,218,60,0.02173913,0.681818182,0.027481218
0.090408035,0,219,60,0.021838851,0.681818182,0.027580071
0.089972108,0,220,60,0.021938572,0.681818182,0.027678924
0.089972108,0,221,60,0.022038293,0.681818182,0.027777778
0.089972108,0,222,60,0.022138014,0.681818182,0.027876631
0.089972108,0,223,60,0.022237734,0.681818182,0.027975484
0.089972108,0,224,60,0.022337455,0.681818182,0.028074338
0.089972108,0,225,60,0.022437176,0.681818182,0.028173191
0.089972108,0,226,60,0.022536897,0.681818182,0.028272044
0.089972108,0,227,60,0.022636617,0.681818182,0.028370898
0.089972108,0,228,60,0.022736338,0.681818182,0.028469751
0.089972108,0,229,60,0.022836059,0.681818182,0.028568604
0.089972108,0,230,60,0.02293578,0.681818182,0.028667457
0.089972108,0,231,60,0.023035501,0.681818182,0.028766311
0.089972108,0,232,60,0.023135221,0.681818182,0.028865164
0.089972108,0,233,60,0.023234942,0.681818182,0.028964017
0.089680662,0,234,60,0.023334663,0.681818182,0.029062871
0.089665632,0,235,60,0.023434384,0.681818182,0.029161724
0.089665632,0,236,60,0.023534105,0.681818182,0.029260577
0.089665632,0,237,60,0.023633825,0.681818182,0.029359431
0.088598522,0,238,60,0.023733546,0.681818182,0.029458284
0.088598522,0,239,60,0.023833267,0.681818182,0.029557137
0.087027226,0,240,60,0.023932988,0.681818182,0.029655991
0.087027226,0,241,60,0.024032708,0.681818182,0.029754844
0.087027226,0,242,60,0.024132429,0.681818182,0.029853697
0.087027226,0,243,60,0.02423215,0.681818182,0.02995255
0.087027226,1,243,61,0.02423215,0.693181818,0.030051404
0.087027226,0,244,61,0.024331871,0.693181818,0.030150257
0.087027226,0,245,61,0.024431592,0.693181818,0.03024911
0.087027226,0,246,61,0.024531312,0.693181818,0.030347964
0.087027226,0,247,61,0.024631033,0.693181818,0.030446817
0.087027226,0,248,61,0.024730754,0.693181818,0.03054567
0.087027226,0,249,61,0.024830475,0.693181818,0.030644524
0.087027226,0,250,61,0.024930195,0.693181818,0.030743377
0.085365539,0,251,61,0.025029916,0.693181818,0.03084223
0.085365539,0,252,61,0.025129637,0.693181818,0.030941083
0.075366638,0,253,61,0.025229358,0.693181818,0.031039937
0.075366638,0,254,61,0.025329079,0.693181818,0.03113879
0.067886673,0,255,61,0.025428799,0.693181818,0.031237643
0.067886673,0,256,61,0.02552852,0.693181818,0.031336497
0.067886673,0,257,61,0.025628241,0.693181818,0.03143535
0.067886673,0,258,61,0.025727962,0.693181818,0.031534203
0.067886673,0,259,61,0.025827682,0.693181818,0.031633057
0.067886673,0,260,61,0.025927403,0.693181818,0.03173191
0.067886673,0,261,61,0.026027124,0.693181818,0.031830763
0.067886673,0,262,61,0.026126845,0.693181818,0.031929616
0.067886673,0,263,61,0.026226566,0.693181818,0.03202847
0.067886673,0,264,61,0.026326286,0.693181818,0.032127323
0.06768448,0,265,61,0.026426007,0.693181818,0.032226176
0.06768448,0,266,61,0.026525728,0.693181818,0.03232503
0.06768448,0,267,61,0.026625449,0.693181818,0.032423883
0.06768448,0,268,61,0.02672517,0.693181818,0.032522736
0.06768448,0,269,61,0.02682489,0.693181818,0.03262159
0.06768448,0,270,61,0.026924611,0.693181818,0.032720443
0.06768448,0,271,61,0.027024332,0.693181818,0.032819296
0.06768448,0,272,61,0.027124053,0.693181818,0.032918149
0.06768448,0,273,61,0.027223773,0.693181818,0.033017003
0.06768448,0,274,61,0.027323494,0.693181818,0.033115856
0.06768448,0,275,61,0.027423215,0.693181818,0.033214709
0.06768448,0,276,61,0.027522936,0.693181818,0.033313563
0.06768448,0,277,61,0.027622657,0.693181818,0.033412416
0.06768448,0,278,61,0.027722377,0.693181818,0.033511269
0.06768448,0,279,61,0.027822098,0.693181818,0.033610123
0.06768448,0,280,61,0.027921819,0.693181818,0.033708976
0.065517748,0,281,61,0.02802154,0.693181818,0.033807829
0.065517748,0,282,61,0.02812126,0.693181818,0.033906682
0.065517748,0,283,61,0.028220981,0.693181818,0.034005536
0.065517748,0,284,61,0.028320702,0.693181818,0.034104389
0.065517748,0,285,61,0.028420423,0.693181818,0.034203242
0.065517748,0,286,61,0.028520144,0.693181818,0.034302096
0.061464861,0,287,61,0.028619864,0.693181818,0.034400949
0.061464861,0,288,61,0.028719585,0.693181818,0.034499802
0.058015963,0,289,61,0.028819306,0.693181818,0.034598656
0.058015963,0,290,61,0.028919027,0.693181818,0.034697509
0.058015963,0,291,61,0.029018748,0.693181818,0.034796362
0.058015963,0,292,61,0.029118468,0.693181818,0.034895216
0.058015963,0,293,61,0.029218189,0.693181818,0.034994069
0.058015963,0,294,61,0.02931791,0.693181818,0.035092922
0.058015963,0,295,61,0.029417631,0.693181818,0.035191775
0.058015963,0,296,61,0.029517351,0.693181818,0.035290629
0.058015963,0,297,61,0.029617072,0.693181818,0.035389482
0.058015963,0,298,61,0.029716793,0.693181818,0.035488335
0.058015963,0,299,61,0.029816514,0.693181818,0.035587189
0.058015963,0,300,61,0.029916235,0.693181818,0.035686042
0.058015963,0,301,61,0.030015955,0.693181818,0.035784895
0.058015963,0,302,61,0.030115676,0.693181818,0.035883749
0.058015963,0,303,61,0.030215397,0.693181818,0.035982602
0.058015963,0,304,61,0.030315118,0.693181818,0.036081455
0.058015963,0,305,61,0.030414838,0.693181818,0.036180308
0.058015963,1,305,62,0.030414838,0.704545455,0.036279162
0.058015963,0,306,62,0.030514559,0.704545455,0.036378015
0.058015963,0,307,62,0.03061428,0.704545455,0.036476868
0.058015963,0,308,62,0.030714001,0.704545455,0.036575722
0.058015963,0,309,62,0.030813722,0.704545455,0.036674575
0.058015963,0,310,62,0.030913442,0.704545455,0.036773428
0.058015963,1,310,63,0.030913442,0.715909091,0.036872282
0.058015963,0,311,63,0.031013163,0.715909091,0.036971135
0.053136677,0,312,63,0.031112884,0.715909091,0.037069988
0.053136677,0,313,63,0.031212605,0.715909091,0.037168841
0.053136677,0,314,63,0.031312325,0.715909091,0.037267695
0.053136677,0,315,63,0.031412046,0.715909091,0.037366548
0.053136677,0,316,63,0.031511767,0.715909091,0.037465401
0.053136677,0,317,63,0.031611488,0.715909091,0.037564255
0.053136677,0,318,63,0.031711209,0.715909091,0.037663108
0.053136677,0,319,63,0.031810929,0.715909091,0.037761961
0.053136677,0,320,63,0.03191065,0.715909091,0.037860815
0.053136677,0,321,63,0.032010371,0.715909091,0.037959668
0.053136677,0,322,63,0.032110092,0.715909091,0.038058521
0.053136677,0,323,63,0.032209813,0.715909091,0.038157374
0.053136677,0,324,63,0.032309533,0.715909091,0.038256228
0.053136677,0,325,63,0.032409254,0.715909091,0.038355081
0.053136677,0,326,63,0.032508975,0.715909091,0.038453934
0.047738005,0,327,63,0.032608696,0.715909091,0.038552788
0.047738005,0,328,63,0.032708416,0.715909091,0.038651641
0.047738005,0,329,63,0.032808137,0.715909091,0.038750494
0.047738005,0,330,63,0.032907858,0.715909091,0.038849348
0.047738005,0,331,63,0.033007579,0.715909091,0.038948201
0.047738005,0,332,63,0.0331073,0.715909091,0.039047054
0.047738005,0,333,63,0.03320702,0.715909091,0.039145907
0.047738005,0,334,63,0.033306741,0.715909091,0.039244761
0.047738005,0,335,63,0.033406462,0.715909091,0.039343614
0.046356819,0,336,63,0.033506183,0.715909091,0.039442467
0.046356819,0,337,63,0.033605903,0.715909091,0.039541321
0.046356819,0,338,63,0.033705624,0.715909091,0.039640174
0.046356819,0,339,63,0.033805345,0.715909091,0.039739027
0.046356819,1,339,64,0.033805345,0.727272727,0.039837881
0.046356819,0,340,64,0.033905066,0.727272727,0.039936734
0.046356819,0,341,64,0.034004787,0.727272727,0.040035587
0.046356819,0,342,64,0.034104507,0.727272727,0.04013444
0.046356819,0,343,64,0.034204228,0.727272727,0.040233294
0.046356819,0,344,64,0.034303949,0.727272727,0.040332147
0.046356819,0,345,64,0.03440367,0.727272727,0.040431
0.046356819,0,346,64,0.034503391,0.727272727,0.040529854
0.046356819,0,347,64,0.034603111,0.727272727,0.040628707
0.046356819,0,348,64,0.034702832,0.727272727,0.04072756
0.046356819,1,348,65,0.034702832,0.738636364,0.040826414
0.042048663,0,349,65,0.034802553,0.738636364,0.040925267
0.042048663,0,350,65,0.034902274,0.738636364,0.04102412
0.042048663,1,350,66,0.034902274,0.75,0.041122974
0.042048663,0,351,66,0.035001994,0.75,0.041221827
0.042048663,0,352,66,0.035101715,0.75,0.04132068
0.042048663,0,353,66,0.035201436,0.75,0.041419533
0.042030756,0,354,66,0.035301157,0.75,0.041518387
0.042030756,0,355,66,0.035400878,0.75,0.04161724
0.04197486,0,356,66,0.035500598,0.75,0.041716093
0.04197486,0,357,66,0.035600319,0.75,0.041814947
0.04197486,0,358,66,0.03570004,0.75,0.0419138
0.04197486,0,359,66,0.035799761,0.75,0.042012653
0.04197486,0,360,66,0.035899481,0.75,0.042111507
0.041940946,0,361,66,0.035999202,0.75,0.04221036
0.041940946,0,362,66,0.036098923,0.75,0.042309213
0.041940946,0,363,66,0.036198644,0.75,0.042408066
0.041940946,0,364,66,0.036298365,0.75,0.04250692
0.041940946,0,365,66,0.036398085,0.75,0.042605773
0.041940946,0,366,66,0.036497806,0.75,0.042704626
0.041940946,0,367,66,0.036597527,0.75,0.04280348
0.041940946,0,368,66,0.036697248,0.75,0.042902333
0.041940946,0,369,66,0.036796968,0.75,0.043001186
0.041940946,0,370,66,0.036896689,0.75,0.04310004
0.041940946,0,371,66,0.03699641,0.75,0.043198893
0.041889028,0,372,66,0.037096131,0.75,0.043297746
0.041889028,0,373,66,0.037195852,0.75,0.043396599
0.041889028,0,374,66,0.037295572,0.75,0.043495453
0.041889028,0,375,66,0.037395293,0.75,0.043594306
0.041889028,0,376,66,0.037495014,0.75,0.043693159
0.041889028,0,377,66,0.037594735,0.75,0.043792013
0.041889028,0,378,66,0.037694456,0.75,0.043890866
0.041889028,0,379,66,0.037794176,0.75,0.043989719
0.041889028,0,380,66,0.037893897,0.75,0.044088573
0.041889028,0,381,66,0.037993618,0.75,0.044187426
0.041889028,0,382,66,0.038093339,0.75,0.044286279
0.041889028,0,383,66,0.038193059,0.75,0.044385132
0.041889028,0,384,66,0.03829278,0.75,0.044483986
0.041889028,0,385,66,0.038392501,0.75,0.044582839
0.041889028,0,386,66,0.038492222,0.75,0.044681692
0.041889028,0,387,66,0.038591943,0.75,0.044780546
0.041889028,0,388,66,0.038691663,0.75,0.044879399
0.041889028,0,389,66,0.038791384,0.75,0.044978252
0.041889028,0,390,66,0.038891105,0.75,0.045077106
0.041889028,0,391,66,0.038990826,0.75,0.045175959
0.041889028,0,392,66,0.039090546,0.75,0.045274812
0.041703896,0,393,66,0.039190267,0.75,0.045373665
0.041703896,0,394,66,0.039289988,0.75,0.045472519
0.041703896,0,395,66,0.039389709,0.75,0.045571372
0.041703896,0,396,66,0.03948943,0.75,0.045670225
0.041703896,0,397,66,0.03958915,0.75,0.045769079
0.041703896,0,398,66,0.039688871,0.75,0.045867932
0.041703896,0,399,66,0.039788592,0.75,0.045966785
0.0417006,0,400,66,0.039888313,0.75,0.046065639
0.0417006,0,401,66,0.039988034,0.75,0.046164492
0.040816463,0,402,66,0.040087754,0.75,0.046263345
0.040816463,0,403,66,0.040187475,0.75,0.046362198
